x,y,vx,vy,rho,p,neighbor_count
4.600367344e-01,9.840438709e-02,3.981105267e-02,1.422695806e-01,2.117157746e+03,5.585788730e+05,31
4.800971230e-01,9.840791280e-02,1.003590627e-01,1.447634961e-01,2.112375000e+03,5.561875002e+05,31
5.002452773e-01,9.841739154e-02,2.322135365e-01,1.509013243e-01,2.102029571e+03,5.510147854e+05,31
5.205759721e-01,9.844082769e-02,4.895966261e-01,1.648273977e-01,2.081852393e+03,5.409261964e+05,31
5.412520609e-01,9.849335570e-02,9.404884204e-01,1.932627982e-01,2.046420460e+03,5.232102299e+05,31
5.625181335e-01,9.860120423e-02,1.679009456e+00,2.483122789e-01,1.988157444e+03,4.940787222e+05,27
5.847652204e-01,9.879258720e-02,2.840706488e+00,3.320049467e-01,1.898319796e+03,4.491598979e+05,25
6.084726539e-01,9.910976882e-02,4.640285670e+00,4.483523752e-01,1.771586202e+03,3.857931008e+05,23
6.340494136e-01,9.953624153e-02,6.489695370e+00,5.252211831e-01,1.624040818e+03,3.120204089e+05,23
6.610249976e-01,1.000549961e-01,9.042711401e+00,6.540834787e-01,1.438215799e+03,2.191078994e+05,23
6.915608300e-01,1.001785667e-01,9.106063215e+00,6.397635325e-01,1.242053552e+03,1.210267760e+05,21
7.165485409e-01,9.922891703e-02,7.944184968e+00,1.708666483e+00,1.070310982e+03,3.515549113e+04,21
7.499222670e-01,9.385679992e-02,3.202937452e-01,4.436439255e-01,1.476693694e+03,2.383468471e+05,18
5.007956028e-02,1.061434550e-01,-3.222899616e-01,-4.434154771e-01,1.476624634e+03,2.383123169e+05,18
8.345705631e-02,1.007710401e-01,-7.943197079e+00,-1.708683379e+00,1.070279399e+03,3.513969949e+04,21
1.084452690e-01,9.982141263e-02,-9.104713765e+00,-6.397669375e-01,1.242058141e+03,1.210290705e+05,21
1.389811795e-01,9.994499211e-02,-9.041193825e+00,-6.540876957e-01,1.438225257e+03,2.191126285e+05,23
1.659568027e-01,1.004637444e-01,-6.488125233e+00,-5.252357170e-01,1.624047711e+03,3.120238554e+05,23
1.915335378e-01,1.008902171e-01,-4.638731712e+00,-4.483702690e-01,1.771592065e+03,3.857960323e+05,23
2.152409588e-01,1.012074035e-01,-2.839165641e+00,-3.320181739e-01,1.898323004e+03,4.491615019e+05,25
2.374880356e-01,1.013987913e-01,-1.677482632e+00,-2.483196185e-01,1.988159001e+03,4.940795006e+05,27
2.587541040e-01,1.015066423e-01,-9.389684693e-01,-1.932661296e-01,2.046421255e+03,5.232106274e+05,31
2.794301905e-01,1.015591716e-01,-4.880811248e-01,-1.648285539e-01,2.081852801e+03,5.409264005e+05,31
2.997608844e-01,1.015826082e-01,-2.307002741e-01,-1.509016695e-01,2.102029774e+03,5.510148868e+05,31
3.199090382e-01,1.015920871e-01,-9.884689292e-02,-1.447635904e-01,2.112375095e+03,5.561875473e+05,31
3.399694266e-01,1.015956129e-01,-3.829937370e-02,-1.422696022e-01,2.117157786e+03,5.585788929e+05,31
3.599919943e-01,1.015968166e-01,-1.317926562e-02,-1.413485972e-01,2.119141091e+03,5.595705453e+05,31
3.799999116e-01,1.015971902e-01,-3.487969685e-03,-1.410425825e-01,2.119867806e+03,5.599339028e+05,31
4.000030804e-01,1.015972716e-01,7.556760802e-04,-1.409727406e-01,2.120044556e+03,5.600222780e+05,31
4.200062492e-01,1.015971902e-01,4.999343958e-03,-1.410425827e-01,2.119867801e+03,5.599339004e+05,31
4.400141666e-01,1.015968167e-01,1.469072595e-02,-1.413485944e-01,2.119141075e+03,5.595705377e+05,31
4.600367344e-01,1.015956129e-01,3.981105267e-02,-1.422695806e-01,2.117157746e+03,5.585788730e+05,31
4.800971230e-01,1.015920872e-01,1.003590627e-01,-1.447634961e-01,2.112375000e+03,5.561875002e+05,31
5.002452773e-01,1.015826085e-01,2.322135365e-01,-1.509013243e-01,2.102029571e+03,5.510147854e+05,31
5.205759721e-01,1.015591723e-01,4.895966261e-01,-1.648273977e-01,2.081852393e+03,5.409261964e+05,31
5.412520609e-01,1.015066443e-01,9.404884204e-01,-1.932627982e-01,2.046420460e+03,5.232102299e+05,31
5.625181335e-01,1.013987958e-01,1.679009456e+00,-2.483122789e-01,1.988157444e+03,4.940787222e+05,27
5.847652204e-01,1.012074128e-01,2.840706488e+00,-3.320049467e-01,1.898319796e+03,4.491598979e+05,25
6.084726539e-01,1.008902312e-01,4.640285670e+00,-4.483523752e-01,1.771586202e+03,3.857931008e+05,23
6.340494136e-01,1.004637585e-01,6.489695370e+00,-5.252211831e-01,1.624040818e+03,3.120204089e+05,23
6.610249976e-01,9.994500393e-02,9.042711401e+00,-6.540834787e-01,1.438215799e+03,2.191078994e+05,23
6.915608300e-01,9.982143328e-02,9.106063215e+00,-6.397635325e-01,1.242053552e+03,1.210267760e+05,21
7.165485409e-01,1.007710830e-01,7.944184968e+00,-1.708666483e+00,1.070310982e+03,3.515549113e+04,21
7.499222670e-01,1.061432001e-01,3.202937452e-01,-4.436439255e-01,1.476693694e+03,2.383468471e+05,18
4.876855253e-02,1.283873785e-01,-3.991672375e+00,3.266123222e+00,1.362954706e+03,1.814773531e+05,17
7.709237752e-02,1.286412444e-01,-9.887416420e+00,-2.189225507e+00,1.264270460e+03,1.321352300e+05,18
1.080805276e-01,1.203464622e-01,-9.754693007e+00,-5.688986400e+00,1.353912614e+03,1.769563068e+05,18
1.392148076e-01,1.157607267e-01,-8.110644805e+00,-7.318975279e+00,1.508518766e+03,2.542593830e+05,21
1.676244717e-01,1.141012588e-01,-5.518275424e+00,-7.229994605e+00,1.648626125e+03,3.243130625e+05,21
1.929370585e-01,1.132466678e-01,-3.708540934e+00,-7.367932275e+00,1.769449942e+03,3.847249709e+05,21
2.161611469e-01,1.129803870e-01,-2.257839455e+00,-7.201415719e+00,1.871145018e+03,4.355725089e+05,24
2.380130273e-01,1.128938876e-01,-1.332214509e+00,-7.089959681e+00,1.944748100e+03,4.723740498e+05,25
2.590296425e-01,1.128814077e-01,-7.526806240e-01,-7.000882341e+00,1.992627191e+03,4.963135957e+05,26
2.795584771e-01,1.128824415e-01,-3.987693551e-01,-6.954481452e+00,2.022151746e+03,5.110758732e+05,29
2.998151703e-01,1.128878610e-01,-1.918407480e-01,-6.928011144e+00,2.039052171e+03,5.195260854e+05,29
3.199297941e-01,1.128915780e-01,-8.334559725e-02,-6.915278977e+00,2.047781599e+03,5.238907997e+05,29
3.399766275e-01,1.128935177e-01,-3.262567647e-02,-6.909750192e+00,2.051833034e+03,5.259165169e+05,29
3.599941857e-01,1.128943251e-01,-1.132217881e-02,-6.907645504e+00,2.053517893e+03,5.267589463e+05,29
3.800003749e-01,1.128946113e-01,-3.020257557e-03,-6.906937783e+00,2.054136282e+03,5.270681412e+05,29
4.000028662e-01,1.128946784e-01,6.460929065e-04,-6.906776057e+00,2.054286815e+03,5.271434074e+05,29
4.200053575e-01,1.128946113e-01,4.312454872e-03,-6.906937743e+00,2.054136284e+03,5.270681421e+05,29
4.400115468e-01,1.128943252e-01,1.261442766e-02,-6.907645380e+00,2.053517898e+03,5.267589489e+05,29
4.600291052e-01,1.128935179e-01,3.391808323e-02,-6.909749878e+00,2.051833045e+03,5.259165227e+05,29
4.800759391e-01,1.128915782e-01,8.463844804e-02,-6.915278305e+00,2.047781619e+03,5.238908095e+05,29
5.001905643e-01,1.128878611e-01,1.931347383e-01,-6.928010014e+00,2.039052185e+03,5.195260923e+05,29
5.204472609e-01,1.128824403e-01,4.000663099e-01,-6.954480349e+00,2.022151675e+03,5.110758373e+05,29
5.409761041e-01,1.128814018e-01,7.539869083e-01,-7.000884214e+00,1.992626734e+03,4.963133669e+05,26
5.619927399e-01,1.128938695e-01,1.333543447e+00,-7.089971480e+00,1.944746613e+03,4.723733063e+05,25
5.838446576e-01,1.129803465e-01,2.259203323e+00,-7.201450583e+00,1.871141409e+03,4.355707046e+05,24
6.070688280e-01,1.132466100e-01,3.709952310e+00,-7.367994710e+00,1.769443350e+03,3.847216749e+05,21
6.323815428e-01,1.141012365e-01,5.519770140e+00,-7.230037525e+00,1.648618349e+03,3.243091747e+05,21
6.607913623e-01,1.157608748e-01,8.112196065e+00,-7.318921415e+00,1.508509506e+03,2.542547531e+05,21
6.919253149e-01,1.203466519e-01,9.755935122e+00,-5.688994571e+00,1.353909481e+03,1.769547403e+05,18
7.229123851e-01,1.286415459e-01,9.887543637e+00,-2.189126457e+00,1.264319429e+03,1.321597144e+05,18
7.512344893e-01,1.283888806e-01,3.990600875e+00,3.266835921e+00,1.363042313e+03,1.815211566e+05,17
5.923532008e-02,1.181657169e-01,-1.622102590e+00,-1.676636651e+00,1.331702019e+03,1.658510094e+05,18
8.203423326e-02,1.273126740e-01,-9.476515110e+00,-3.424821347e+00,1.253912239e+03,1.269561193e+05,18
1.119555696e-01,1.276445545e-01,-8.316803164e+00,-2.671150672e+00,1.312617136e+03,1.563085681e+05,17
1.403861714e-01,1.278404486e-01,-6.952221068e+00,-1.470681046e+00,1.336573271e+03,1.682866353e+05,19
1.682467238e-01,1.279423130e-01,-5.045252248e+00,-5.793534627e-01,1.404609153e+03,2.023045767e+05,19
1.932659446e-01,1.279782725e-01,-3.334877384e+00,-2.557373061e-01,1.489889258e+03,2.449446292e+05,20
2.163360686e-01,1.280207236e-01,-2.101058977e+00,7.391782976e-03,1.564110654e+03,2.820553270e+05,21
2.380951061e-01,1.281489686e-01,-1.256665328e+00,2.199320513e-01,1.617494183e+03,3.087470914e+05,23
2.590752509e-01,1.282325652e-01,-7.059215162e-01,3.588484110e-01,1.652390229e+03,3.261951147e+05,23
2.795832881e-01,1.282845608e-01,-3.659003120e-01,4.436109058e-01,1.674266093e+03,3.371330465e+05,24
2.998275250e-01,1.283122215e-01,-1.727969392e-01,4.907275426e-01,1.686890683e+03,3.434453414e+05,24
3.199352057e-01,1.283254099e-01,-7.408981791e-02,5.140758321e-01,1.693459355e+03,3.467296774e+05,24
3.399787489e-01,1.283310948e-01,-2.870581119e-02,5.244914806e-01,1.696518202e+03,3.482591008e+05,24
3.599949508e-01,1.283332965e-01,-9.822115815e-03,5.286584843e-01,1.697795282e+03,3.488976411e+05,24
3.800006303e-01,1.283340566e-01,-2.501245579e-03,5.301363725e-01,1.698265575e+03,3.491327873e+05,24
4.000029068e-01,1.283342340e-01,7.230766903e-04,5.304878555e-01,1.698380329e+03,3.491901645e+05,24
4.200051832e-01,1.283340566e-01,3.947372499e-03,5.301363780e-01,1.698265575e+03,3.491327877e+05,24
4.400108626e-01,1.283332966e-01,1.126813476e-02,5.286585122e-01,1.697795284e+03,3.488976420e+05,24
4.600270643e-01,1.283310949e-01,3.015154134e-02,5.244916000e-01,1.696518204e+03,3.482591019e+05,24
4.800706070e-01,1.283254105e-01,7.553487726e-02,5.140763010e-01,1.693459349e+03,3.467296743e+05,24
5.001782864e-01,1.283122236e-01,1.742406390e-01,4.907291492e-01,1.686890630e+03,3.434453152e+05,24
5.204225209e-01,1.282845676e-01,3.673417670e-01,4.436159858e-01,1.674265852e+03,3.371329258e+05,24
5.409305540e-01,1.282325846e-01,7.073593894e-01,3.588624216e-01,1.652389333e+03,3.261946667e+05,23
5.619106931e-01,1.281490196e-01,1.258095067e+00,2.199663506e-01,1.617491518e+03,3.087457588e+05,23
5.836697054e-01,1.280208414e-01,2.102450160e+00,7.462707828e-03,1.564104984e+03,2.820524920e+05,21
6.067398478e-01,1.279785025e-01,3.336292839e+00,-2.556087915e-01,1.489879622e+03,2.449398109e+05,20
6.317591150e-01,1.279425478e-01,5.046689992e+00,-5.792697723e-01,1.404598937e+03,2.022994686e+05,19
6.596196092e-01,1.278406012e-01,6.953572097e+00,-1.470702329e+00,1.336567150e+03,1.682835749e+05,19
6.880500752e-01,1.276446275e-01,8.318015276e+00,-2.671254831e+00,1.312620501e+03,1.563102503e+05,17
7.179707610e-01,1.273130436e-01,9.477004985e+00,-3.424699439e+00,1.253943677e+03,1.269718384e+05,18
7.407671073e-01,1.181662100e-01,1.620356237e+00,-1.676727948e+00,1.331810690e+03,1.659053450e+05,18
6.753017931e-02,1.377335395e-01,-5.741253161e+00,-1.703121596e+00,1.154336035e+03,7.716801761e+04,17
9.876402713e-02,1.333729453e-01,-6.859478068e+00,-3.902320828e+00,1.174751323e+03,8.737566153e+04,16
1.252441132e-01,1.267304459e-01,-6.352380758e+00,-5.125180248e+00,1.306256291e+03,1.531281453e+05,17
1.503312428e-01,1.258898596e-01,-4.957977568e+00,-4.148159770e+00,1.393897258e+03,1.969486292e+05,18
1.736489301e-01,1.265289555e-01,-4.010321362e+00,-3.150095713e+00,1.460250359e+03,2.301251793e+05,22
1.959957398e-01,1.271153123e-01,-2.847727646e+00,-2.464751143e+00,1.518414672e+03,2.592073358e+05,22
2.176736728e-01,1.276863118e-01,-1.833427942e+00,-1.862009708e+00,1.569380852e+03,2.846904259e+05,22
2.386925859e-01,1.280341647e-01,-1.106627170e+00,-1.496278490e+00,1.612142941e+03,3.060714706e+05,22
2.593158530e-01,1.282387286e-01,-6.363864529e-01,-1.274193584e+00,1.641577609e+03,3.207888046e+05,23
2.796721453e-01,1.283452963e-01,-3.368122644e-01,-1.151198663e+00,1.661012294e+03,3.305061469e+05,24
2.998574848e-01,1.283951303e-01,-1.614469364e-01,-1.088053906e+00,1.672634486e+03,3.363172430e+05,24
3.199441562e-01,1.284165215e-01,-6.999484329e-02,-1.058533183e+00,1.678821417e+03,3.394107087e+05,24
3.399807063e-01,1.284249123e-01,-2.737800984e-02,-1.045985492e+00,1.681747056e+03,3.408735279e+05,24
3.599947450e-01,1.284279407e-01,-9.474571799e-03,-1.041134068e+00,1.682980333e+03,3.414901663e+05,24
3.799997864e-01,1.284289307e-01,-2.483737868e-03,-1.039455731e+00,1.683437343e+03,3.417186715e+05,24
4.000018475e-01,1.284291545e-01,6.130402101e-04,-1.039062150e+00,1.683549231e+03,3.417746154e+05,24
4.200039085e-01,1.284289308e-01,3.709626280e-03,-1.039455643e+00,1.683437371e+03,3.417186856e+05,24
4.400089492e-01,1.284279409e-01,1.069971974e-02,-1.041133788e+00,1.682980418e+03,3.414902089e+05,24
4.600229864e-01,1.284249129e-01,2.860133867e-02,-1.045984738e+00,1.681747271e+03,3.408736353e+05,24
4.800595327e-01,1.284165230e-01,7.121430795e-02,-1.058531352e+00,1.678821898e+03,3.394109491e+05,24
5.001461960e-01,1.283951338e-01,1.626591506e-01,-1.088049963e+00,1.672635438e+03,3.363177191e+05,24
5.203315201e-01,1.283453039e-01,3.380125206e-01,-1.151191078e+00,1.661013930e+03,3.305069652e+05,24
5.406877865e-01,1.282387439e-01,6.375708404e-01,-1.274180812e+00,1.641579939e+03,3.207899694e+05,23
5.613110214e-01,1.280341913e-01,1.107811017e+00,-1.496262175e+00,1.612145733e+03,3.060728667e+05,22
5.823299192e-01,1.276863544e-01,1.834625829e+00,-1.861988741e+00,1.569384547e+03,2.846922733e+05,22
6.040077735e-01,1.271153945e-01,2.848872514e+00,-2.464694282e+00,1.518418436e+03,2.592092179e+05,22
6.263544989e-01,1.265290421e-01,4.011385919e+00,-3.150021458e+00,1.460253837e+03,2.301269186e+05,22
